Datum;Calls;Bid_Call;Ask_Call;Strike;Puts;Bid_Put;Ask_Put
31.3.2021;SPXW210331C00700000;3258,1;3261,7;700;SPXW210331P00700000;0;0,05
31.3.2021;SPXW210331C00800000;3158,1;3161,7;800;SPXW210331P00800000;0;0,05
31.3.2021;SPXW210331C00900000;3058,1;3061,7;900;SPXW210331P00900000;0;0,05
31.3.2021;SPXW210331C01000000;2958,1;2961,7;1000;SPXW210331P01000000;0;0,05
31.3.2021;SPXW210331C01100000;2858,1;2861,7;1100;SPXW210331P01100000;0;0,05
31.3.2021;SPXW210331C01200000;2758,1;2761,7;1200;SPXW210331P01200000;0;0,05
31.3.2021;SPXW210331C01300000;2658,1;2661,7;1300;SPXW210331P01300000;0;0,05
31.3.2021;SPXW210331C01400000;2558,4;2561,8;1400;SPXW210331P01400000;0;0,05
31.3.2021;SPXW210331C01500000;2458,1;2461,7;1500;SPXW210331P01500000;0;0,05
31.3.2021;SPXW210331C01550000;2408,1;2411,7;1550;SPXW210331P01550000;0;0,05
31.3.2021;SPXW210331C01600000;2358,1;2361,7;1600;SPXW210331P01600000;0;0,05
31.3.2021;SPXW210331C01650000;2308,1;2311,7;1650;SPXW210331P01650000;0;0,05
31.3.2021;SPXW210331C01700000;2258,1;2261,7;1700;SPXW210331P01700000;0;0,05
31.3.2021;SPXW210331C01750000;2208,1;2211,7;1750;SPXW210331P01750000;0;0,05
31.3.2021;SPXW210331C01800000;2158,1;2161,7;1800;SPXW210331P01800000;0;0,05
31.3.2021;SPXW210331C01850000;2108,1;2111,7;1850;SPXW210331P01850000;0;0,05
31.3.2021;SPXW210331C01875000;2083,4;2086,8;1875;SPXW210331P01875000;0;0,05
31.3.2021;SPXW210331C01900000;2058,1;2061,7;1900;SPXW210331P01900000;0;0,05
31.3.2021;SPXW210331C01925000;2033,1;2036,7;1925;SPXW210331P01925000;0;0,05
31.3.2021;SPXW210331C01950000;2008,1;2011,7;1950;SPXW210331P01950000;0;0,05
31.3.2021;SPXW210331C01975000;1983,1;1986,7;1975;SPXW210331P01975000;0;0,05
31.3.2021;SPXW210331C02000000;1958,1;1961,7;2000;SPXW210331P02000000;0;0,05
31.3.2021;SPXW210331C02025000;1933,1;1936,7;2025;SPXW210331P02025000;0;0,05
31.3.2021;SPXW210331C02050000;1908,1;1911,7;2050;SPXW210331P02050000;0;0,05
31.3.2021;SPXW210331C02075000;1883,1;1886,7;2075;SPXW210331P02075000;0;0,05
31.3.2021;SPXW210331C02100000;1858,1;1861,7;2100;SPXW210331P02100000;0;0,05
31.3.2021;SPXW210331C02125000;1833,1;1836,7;2125;SPXW210331P02125000;0;0,05
31.3.2021;SPXW210331C02150000;1808,4;1811,8;2150;SPXW210331P02150000;0;0,05
31.3.2021;SPXW210331C02175000;1783,1;1786,7;2175;SPXW210331P02175000;0;0,05
31.3.2021;SPXW210331C02200000;1758,4;1761,8;2200;SPXW210331P02200000;0;0,05
31.3.2021;SPXW210331C02225000;1733,1;1736,7;2225;SPXW210331P02225000;0;0,05
31.3.2021;SPXW210331C02230000;1728;1731,8;2230;SPXW210331P02230000;0;0,05
