^SPX (Standard & Poors 500 Index),3089,85.63
Mar 04 2020 @ 13:45 ET,Bid,3088.32,Ask,3089.78,Size,1x1,Vol,
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
03/04/2020,SPXW200304C01800000,1195.6,0,1284.2,1293.6,0,0,0.9988,0,1,1800.000,SPXW200304P01800000,0.1,0,0,0.05,0,8.4486,-0.0002,0,6
03/04/2020,SPXW200304C01900000,1130.7,0,1184.2,1194.4,0,8.7984,0.9989,0,1,1900.000,SPXW200304P01900000,0.05,0,0,0.05,0,7.6782,-0.0002,0,44
03/04/2020,SPXW200304C01950000,0,0,1134.2,1144.4,0,8.3541,0.9989,0,0,1950.000,SPXW200304P01950000,0.9,0,0,0.05,0,7.251,-0.0002,0,1
03/04/2020,SPXW200304C02000000,1102.6,0,1084.2,1093.5,0,0,0.9995,0,1,2000.000,SPXW200304P02000000,0.05,0,0,0.05,0,6.8797,-0.0002,0,2559
03/04/2020,SPXW200304C02050000,0,0,1034.1,1043.4,0,0,0.9991,0,0,2050.000,SPXW200304P02050000,0.05,0,0,0.05,0,6.5299,-0.0003,0,1732
03/04/2020,SPXW200304C02100000,0,0,984.1,993.4,0,0,0.9991,0,0,2100.000,SPXW200304P02100000,0.05,0,0,0.05,0,6.1117,-0.0003,0,4454
03/04/2020,SPXW200304C02150000,1001.87,0,934.2,943.5,0,0,0.9986,0,3,2150.000,SPXW200304P02150000,0.05,0,0,0.05,0,5.751,-0.0003,0,4531
03/04/2020,SPXW200304C02200000,0,0,884.2,893.6,0,0,0.9989,0,0,2200.000,SPXW200304P02200000,0.05,0,0,0.05,0,5.4385,-0.0003,0,4278
03/04/2020,SPXW200304C02250000,0,0,834.2,843.6,0,0,0.998,0,0,2250.000,SPXW200304P02250000,0.05,0,0,0.05,0,5.0831,-0.0003,0,819
03/04/2020,SPXW200304C02300000,718.6,0,783.8,793.9,0,0,0.9967,0,1,2300.000,SPXW200304P02300000,0.05,0,0,0.05,0,4.762,-0.0003,0,571
03/04/2020,SPXW200304C02350000,0,0,734.2,743.6,0,0,0.9978,0,0,2350.000,SPXW200304P02350000,0.05,0,0,0.05,0,4.4506,-0.0004,0,2102
03/04/2020,SPXW200304C02400000,0,0,684.2,693.6,0,0,0.9976,0,0,2400.000,SPXW200304P02400000,0.05,0,0,0.05,0,4.1037,-0.0004,0,1536
03/04/2020,SPXW200304C02425000,0,0,659.2,669.4,0,4.6127,0.998,0,0,2425.000,SPXW200304P02425000,0.05,0,0,0.05,0,3.9385,-0.0004,0,3204
03/04/2020,SPXW200304C02450000,576.3,0,634.2,643.6,0,0,0.9986,0,1,2450.000,SPXW200304P02450000,0.05,0,0,0.05,0,3.8194,-0.0004,0,3208
03/04/2020,SPXW200304C02475000,0,0,609.2,619.4,0,4.2491,0.9979,0,0,2475.000,SPXW200304P02475000,0.05,0,0,0.05,0,3.626,-0.0004,0,4947
03/04/2020,SPXW200304C02500000,0,0,584.1,593.4,0,0,0.9984,0,0,2500.000,SPXW200304P02500000,0.05,0,0,0.05,0,3.501,-0.0005,0,13317
03/04/2020,SPXW200304C02525000,0,0,559.1,568.4,0,0,0.9984,0,0,2525.000,SPXW200304P02525000,0.05,0,0,0.05,0,3.3388,-0.0005,0,1700
03/04/2020,SPXW200304C02540000,0,0,544.1,553.4,0,0,0.9983,0,0,2540.000,SPXW200304P02540000,0.05,0,0,0.05,1,3.251,-0.0005,0,1345
03/04/2020,SPXW200304C02550000,467.6,0,534.2,543.5,0,0,0.9976,0,2,2550.000,SPXW200304P02550000,0.05,0,0,0.05,0,3.1885,-0.0005,0,2398
03/04/2020,SPXW200304C02560000,0,0,524.2,533.5,0,0,0.9976,0,0,2560.000,SPXW200304P02560000,0.05,0,0,0.05,0,3.126,-0.0005,0,1479
03/04/2020,SPXW200304C02570000,421.6,0,514.2,523.6,0,0,0.9969,0,1,2570.000,SPXW200304P02570000,0.07,0,0,0.05,0,3.0798,-0.0006,0,1597
03/04/2020,SPXW200304C02575000,0,0,509.2,519.4,0,3.5518,0.9975,0,0,2575.000,SPXW200304P02575000,0.05,0,0,0.05,0,3.0309,-0.0005,0,2684
03/04/2020,SPXW200304C02580000,417.4,0,504.2,513.5,0,0,0.9975,0,1,2580.000,SPXW200304P02580000,0.05,0,0,0.05,1,2.9963,-0.0005,0,1389
03/04/2020,SPXW200304C02590000,421.9,0,494.1,503.4,0,0,0.9982,0,1,2590.000,SPXW200304P02590000,0.05,0,0,0.05,0,2.9368,-0.0005,0,260
03/04/2020,SPXW200304C02600000,392.6,0,483.8,493.9,0,0,0.9948,0.0001,0,2600.000,SPXW200304P02600000,0.1,0,0,0.05,0,2.88,-0.0005,0,1599
03/04/2020,SPXW200304C02610000,0,0,473.8,483.9,0,0,0.9947,0.0001,0,2610.000,SPXW200304P02610000,0.05,0,0,0.05,0,2.8207,-0.0006,0,420
03/04/2020,SPXW200304C02620000,0,0,463.8,473.9,0,0,0.9946,0.0001,0,2620.000,SPXW200304P02620000,0.18,0,0,0.05,0,2.7674,-0.0006,0,173
03/04/2020,SPXW200304C02625000,371.5,0,458.8,468.9,0,0,0.9946,0.0001,1,2625.000,SPXW200304P02625000,0.1,0,0,0.05,0,2.7224,-0.0006,0,971
03/04/2020,SPXW200304C02630000,0,0,454.2,464.4,0,3.1693,0.9973,0,0,2630.000,SPXW200304P02630000,0.14,0,0,0.05,0,2.693,-0.0006,0,148
03/04/2020,SPXW200304C02640000,0,0,443.8,453.9,0,0,0.9944,0.0001,0,2640.000,SPXW200304P02640000,0.11,0,0,0.05,0,2.6347,-0.0006,0,570
03/04/2020,SPXW200304C02650000,405.1,0,433.8,443.9,0,0,0.9943,0.0001,3,2650.000,SPXW200304P02650000,0.05,-0.025,0,0.05,29,2.5864,-0.0006,0,5194
03/04/2020,SPXW200304C02660000,0,0,423.8,433.9,0,0,0.9942,0.0001,0,2660.000,SPXW200304P02660000,0.1,0,0,0.05,0,2.5286,-0.0006,0,2141
03/04/2020,SPXW200304C02670000,0,0,414.2,423.6,0,0,0.9979,0,0,2670.000,SPXW200304P02670000,0.1,0,0,0.05,0,2.4726,-0.0007,0,253
03/04/2020,SPXW200304C02675000,380.4,0,408.8,418.9,0,0,0.994,0.0001,2,2675.000,SPXW200304P02675000,0.1,0,0,0.05,0,2.4423,-0.0007,0,9080
03/04/2020,SPXW200304C02680000,0,0,403.8,413.9,0,0,0.9939,0.0001,0,2680.000,SPXW200304P02680000,0.12,0,0,0.05,0,2.4147,-0.0007,0,363
03/04/2020,SPXW200304C02685000,0,0,398.8,408.9,0,0,0.9938,0.0001,0,2685.000,SPXW200304P02685000,0.12,0,0,0.05,0,2.3855,-0.0007,0,74
03/04/2020,SPXW200304C02690000,388.1,0,397.2,403.8,0,3.6176,0.9823,0.0002,1,2690.000,SPXW200304P02690000,0.06,0,0,0.05,0,2.357,-0.0007,0,508
03/04/2020,SPXW200304C02695000,239.79,0,392.2,398.5,0,3.5138,0.9836,0.0002,100,2695.000,SPXW200304P02695000,0.12,0,0,0.05,0,2.3237,-0.0007,0,81
03/04/2020,SPXW200304C02700000,351.02,28.47,387.2,393.8,4,3.534,0.9819,0.0002,1,2700.000,SPXW200304P02700000,0.05,-0.025,0,0.05,585,2.2896,-0.0007,0,5670
03/04/2020,SPXW200304C02705000,388.7,0,382.2,388.8,0,3.4922,0.9817,0.0002,100,2705.000,SPXW200304P02705000,0.05,-0.075,0,0.05,1,2.2813,-0.0008,0,91
03/04/2020,SPXW200304C02710000,208,0,377.2,383.5,0,3.3903,0.9831,0.0002,1,2710.000,SPXW200304P02710000,0.2,0,0,0.05,0,2.2431,-0.0007,0,210
03/04/2020,SPXW200304C02715000,0,0,372.2,378.5,0,3.349,0.9829,0.0002,0,2715.000,SPXW200304P02715000,0.22,0,0,0.05,0,2.2166,-0.0008,0,566
03/04/2020,SPXW200304C02720000,0,0,367.2,373.5,0,3.3071,0.9827,0.0002,0,2720.000,SPXW200304P02720000,0.05,-0.1,0,0.05,32,2.185,-0.0008,0,244
03/04/2020,SPXW200304C02725000,0,0,362.2,368.8,0,3.3253,0.9809,0.0002,0,2725.000,SPXW200304P02725000,0.05,-0.1,0,0.05,10,2.1396,-0.0007,0,3351
03/04/2020,SPXW200304C02730000,343.2,0,357.2,363.8,0,3.2831,0.9807,0.0003,1,2730.000,SPXW200304P02730000,0.2,0,0,0.05,0,2.1087,-0.0007,0,302
03/04/2020,SPXW200304C02735000,286.4,0,352.2,358.8,0,3.242,0.9804,0.0003,1,2735.000,SPXW200304P02735000,0.1,-0.1,0,0.05,3,2.0985,-0.0008,0,77
03/04/2020,SPXW200304C02740000,269.1,0,347.2,353.8,0,3.1999,0.9802,0.0003,6,2740.000,SPXW200304P02740000,0.05,-0.175,0,0.05,12,2.0565,-0.0007,0,5136
03/04/2020,SPXW200304C02745000,0,0,342.2,348.5,0,3.1022,0.9817,0.0003,0,2745.000,SPXW200304P02745000,0.05,-0.2,0,0.05,1,2.0377,-0.0008,0,57
