,Cboe data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action.Your use of Cboe data is subject to the Terms and Conditions for use of Cboe Websites.,,,,,,,,,
,To access our full collection of comprehensive historical market data visit CBOE Data Shop at https://datashop.cboe.com.,,,,,,,,,
time, volume, open, high, low, close07/23/2019,0,13.42,13.52,12.55,12.61
07/24/2019,0,12.8,13.1,11.98,12.07,,,,,
07/25/2019,0,12.24,13.54,11.69,12.74,,,,,
07/26/2019,0,12.58,12.72,12.01,12.16,,,,,
07/29/2019,0,12.15,13.17,12.15,12.83,,,,,
07/30/2019,0,12.87,14.18,12.87,13.94,,,,,
07/31/2019,0,13.83,16.55,13.46,16.12,,,,,
08-01-19,0,15.41,19.46,13.73,17.87,,,,,
08-02-19,0,17.69,20.11,17.04,17.61,,,,,
08-05-19,0,19.96,24.81,19.91,24.59,,,,,
08-06-19,0,22.29,22.87,19.77,20.17,,,,,
08-07-19,0,20.7,23.67,18.94,19.49,,,,,
08-08-19,0,19.36,19.89,16.82,16.91,,,,,
08-09-19,0,18.14,19.44,17.31,17.97,,,,,
08-12-19,0,17.87,21.26,17.77,21.09,,,,,
08/13/2019,0,21.28,21.64,17.52,17.52,,,,,
08/14/2019,0,17.81,22.71,17.75,22.1,,,,,
08/15/2019,0,21.58,24.1,20.78,21.18,,,,,
08/16/2019,0,20.48,20.5,18.41,18.47,,,,,
08/19/2019,0,17.93,18.22,16.52,16.88,,,,,
08/20/2019,0,16.78,17.7,16.45,17.5,,,,,
08/21/2019,0,17.01,17.04,15.51,15.8,,,,,
08/22/2019,0,16.12,17.68,15.63,16.68,,,,,
08/23/2019,0,16.15,21.07,16.04,19.87,,,,,
08/26/2019,0,20.34,21.33,19.06,19.32,,,,,
08/27/2019,0,20.18,21.04,18.49,20.31,,,,,
08/28/2019,0,20.55,21.64,19.1,19.35,,,,,
08/29/2019,0,19.02,19.2,17.6,17.88,,,,,
08/30/2019,0,17.94,19.18,17.09,18.98,,,,,
09-03-19,0,20.96,21.15,19.41,19.66,,,,,
09-04-19,0,18.23,18.83,17.26,17.33,,,,,
09-05-19,0,16.92,17.05,15.45,16.27,,,,,
09-06-19,0,15.92,16.06,14.91,15,,,,,
09-09-19,0,15.26,16.13,14.95,15.27,,,,,
09-10-19,0,15.53,16.52,15.11,15.2,,,,,
09-11-19,0,15.33,15.52,14.55,14.61,,,,,
09-12-19,0,14.69,14.94,13.85,14.22,,,,,
09/13/2019,0,14.16,14.31,13.51,13.74,,,,,
09/16/2019,0,14.89,15.29,14.5,14.67,,,,,
09/17/2019,0,14.92,15.03,14.4,14.44,,,,,
09/18/2019,0,14.61,15.8,13.8,13.95,,,,,
09/19/2019,0,14.66,14.66,13.31,14.05,,,,,
09/20/2019,0,13.94,15.84,13.35,15.32,,,,,
09/23/2019,0,15.35,16,14.71,14.91,,,,,
09/24/2019,0,14.77,17.62,14.33,17.05,,,,,
09/25/2019,0,17.05,18.45,15.69,15.96,,,,,
09/26/2019,0,16.23,17.09,15.35,16.07,,,,,
09/27/2019,0,15.77,18.69,15.15,17.22,,,,,
09/30/2019,0,17.23,17.35,16.2,16.24,,,,,
10-01-19,0,16.02,18.62,15.79,18.56,,,,,
10-02-19,0,18.75,21.46,18.75,20.56,,,,,
10-03-19,0,20.11,21.44,19.03,19.12,,,,,
10-04-19,0,19.42,19.97,16.97,17.04,,,,,
10-07-19,0,18.27,18.52,16.44,17.86,,,,,
10-08-19,0,17.61,20.38,17.42,20.28,,,,,
10-09-19,0,19.94,20,17.77,18.64,,,,,
10-10-19,0,19.28,19.8,17.56,17.57,,,,,
10-11-19,0,17.35,17.44,15.11,15.58,,,,,
10/14/2019,0,15.66,16.5,14.51,14.57,,,,,
10/15/2019,0,13.94,14.43,13.39,13.54,,,,,
10/16/2019,0,13.94,14.26,13.6,13.68,,,,,
10/17/2019,0,13.79,14.18,13.31,13.79,,,,,
10/18/2019,0,14.2,15.16,13.78,14.25,,,,,
10/21/2019,0,14.24,14.63,14,14,,,,,
10/22/2019,0,13.99,14.61,13.7,14.46,,,,,
