#;Company;Symbol;Weight;      Price;Chg;% Chg
1;Apple Inc.;AAPL;6,273806;154,29;-0,01;(-0,01%)
2;Microsoft Corporation;MSFT;5,903974;300,93;-0,21;(-0,07%)
3;Amazon.com Inc.;AMZN;3,864336;   3,473,00;-5,05;(-0,15%)
4;Facebook Inc. Class A;FB;2,3406;375,28;-0,98;(-0,26%)
5;Alphabet Inc. Class A;GOOGL;2,243735;   2,870,00;-4,79;(-0,17%)
6;Alphabet Inc. Class C;GOOG;2,137828;   2,895,45;-0,05;(-0,00%)
7;Tesla Inc;TSLA;1,469431;734;0,43;-0,06%
8;NVIDIA Corporation;NVDA;1,452985;228,98;0,55;-0,24%
9;Berkshire Hathaway Inc. Class B;BRK,B;1,406543;281,89;0;0,00%
10;JPMorgan Chase & Co.;JPM;1,264573;159,49;0;0,00%
11;Johnson & Johnson;JNJ;1,199288;175,04;0;0,00%
12;UnitedHealth Group Incorporated;UNH;1,040979;422,86;0;0,00%
13;Visa Inc. Class A;V;0,987247;225,11;0;0,00%
14;Procter & Gamble Company;PG;0,9175;144,05;0;0,00%
15;Home Depot Inc.;HD;0,907187;330,34;0;0,00%
16;PayPal Holdings Inc;PYPL;0,873237;288,8;-0,33;(-0,11%)
17;Walt Disney Company;DIS;0,860245;181;0;0,00%
18;Adobe Inc.;ADBE;0,826969;666,5;-0,09;(-0,01%)
19;Bank of America Corp;BAC;0,805317;41;-0,05;(-0,12%)
20;Mastercard Incorporated Class A;MA;0,77711;340,23;0;0,00%
21;Comcast Corporation Class A;CMCSA;0,73706;61,45;-0,27;(-0,44%)
22;Pfizer Inc.;PFE;0,682602;46,84;0;0,00%
23;Netflix Inc.;NFLX;0,679403;592;1,47;-0,25%
24;salesforce.com inc.;CRM;0,664045;267,08;0;0,00%
25;Cisco Systems Inc.;CSCO;0,653166;59,45;0,03;-0,05%
26;Exxon Mobil Corporation;XOM;0,607068;54,87;0;0,00%
27;Verizon Communications Inc.;VZ;0,595927;55,43;0;0,00%
28;Abbott Laboratories;ABT;0,594368;128,94;0;0,00%
29;Thermo Fisher Scientific Inc.;TMO;0,578498;565,41;-2,7;(-0,48%)
30;Coca-Cola Company;KO;0,573524;56,73;0;0,00%
31;Intel Corporation;INTC;0,564838;53,56;0,05;-0,09%
32;PepsiCo Inc.;PEP;0,564539;157,07;-0,02;(-0,01%)
33;Accenture Plc Class A;ACN;0,564317;343,33;0;0,00%
34;Danaher Corporation;DHR;0,547737;332,43;0;0,00%
35;NIKE Inc. Class B;NKE;0,543262;163,29;0;0,00%
36;Eli Lilly and Company;LLY;0,537908;259,57;0,04;-0,02%
37;Walmart Inc.;WMT;0,531042;149,25;0;0,00%
38;Costco Wholesale Corporation;COST;0,530428;462,5;-0,05;(-0,01%)
39;Broadcom Inc.;AVGO;0,522045;495,7;-1,98;(-0,40%)
40;AbbVie Inc.;ABBV;0,514257;111,62;0;0,00%
41;AT&T Inc.;T;0,513782;27,56;0;0,00%
42;Merck & Co. Inc.;MRK;0,508374;77,26;0;0,00%
43;Chevron Corporation;CVX;0,491654;97,49;0;0,00%
44;Wells Fargo & Company;WFC;0,479009;44,17;0;0,00%
45;Medtronic Plc;MDT;0,472137;134,63;0;0,00%
46;McDonald's Corporation;MCD;0,465982;238,82;0;0,00%
47;Texas Instruments Incorporated;TXN;0,455399;189,5;-0,38;(-0,20%)
48;NextEra Energy Inc.;NEE;0,440635;85,69;0;0,00%
49;Philip Morris International Inc.;PM;0,428634;106,1;0;0,00%
50;Linde plc;LIN;0,427393;313,43;0;0,00%
51;Qualcomm Inc;QCOM;0,426172;144,5;-0,13;(-0,09%)
52;Oracle Corporation;ORCL;0,4247;90,08;0,08;-0,09%
53;Honeywell International Inc.;HON;0,417593;230,95;2,59;-1,13%
54;Morgan Stanley;MS;0,406228;104,25;0;0,00%
55;Intuit Inc.;INTU;0,398183;559,79;-3,46;(-0,61%)
56;Citigroup Inc.;C;0,384768;71,17;0;0,00%
57;Bristol-Myers Squibb Company;BMY;0,384482;65,61;0;0,00%
58;Lowe's Companies Inc.;LOW;0,379399;205,98;0;0,00%
59;Union Pacific Corporation;UNP;0,37621;214,91;0;0,00%
60;United Parcel Service Inc. Class B;UPS;0,373189;197,29;-0,05;(-0,03%)
61;Goldman Sachs Group Inc.;GS;0,367121;411,31;0;0,00%
62;Starbucks Corporation;SBUX;0,35923;117,38;0,19;-0,16%
63;American Tower Corporation;AMT;0,356171;302,01;0;0,00%
64;BlackRock Inc.;BLK;0,350695;950,68;13,4;-1,43%
65;Advanced Micro Devices Inc.;AMD;0,345421;109,9;-0,02;(-0,02%)
66;ServiceNow Inc.;NOW;0,339409;678,63;0;0,00%
67;Amgen Inc.;AMGN;0,338003;226,41;0,04;-0,02%
68;Raytheon Technologies Corporation;RTX;0,333409;83,65;0;0,00%
69;Intuitive Surgical Inc.;ISRG;0,330383;   1,073,00;1,23;-0,11%
70;International Business Machines Corporation;IBM;0,325166;139,58;0;0,00%
71;Applied Materials Inc.;AMAT;0,320679;135,66;-0,17;(-0,13%)
72;Target Corporation;TGT;0,316586;244,31;0;0,00%
73;Boeing Company;BA;0,316036;218,17;0;0,00%
74;Moderna Inc.;MRNA;0,315933;414,15;-2,55;(-0,61%)
75;Deere & Company;DE;0,312568;389,34;0;0,00%
76;General Electric Company;GE;0,302701;104,75;0;0,00%
77;Caterpillar Inc.;CAT;0,302023;210,37;0;0,00%
78;CVS Health Corporation;CVS;0,29806;87,47;0;0,00%
79;Charter Communications Inc. Class A;CHTR;0,29437;797,31;-14,02;(-1,73%)
80;3M Company;MMM;0,29335;194,39;0;0,00%
81;Charles Schwab Corporation;SCHW;0,284694;72,09;0;0,00%
82;S&P Global Inc.;SPGI;0,281219;452,08;0;0,00%
83;American Express Company;AXP;0,27447;159,3;0;0,00%
84;Prologis Inc.;PLD;0,266208;138,99;0;0,00%
85;Zoetis Inc. Class A;ZTS;0,258427;209,69;0;0,00%
