Product;Symbol;Duration Type;Expiration Date;Indeks VRO;Indeks VIX ob koncu trgovalnega dne
VX;VX/H1;Monthly;17.3.2021;20,8;19,23
VX;VX/G1;Monthly;17.2.2021;22,81;21,5
VX;VX/F1;Monthly;20.1.2021;22,59;21,58
VX;VX/Z0;Monthly;16.12.2020;23,35;22,5
VX;VX/X0;Monthly;18.11.2020;22,41;23,84
VX;VX/V0;Monthly;21.10.2020;29,07;28,65
VX;VX/U0;Monthly;16.9.2020;26,12;26,040001
VX;VX/Q0;Monthly;19.8.2020;21,71;22,540001
VX;VX/N0;Monthly;22.7.2020;25,45;24,32
VX;VX/M0;Monthly;17.6.2020;33,44;33,470001
VX;VX/K0;Monthly;20.5.2020;28,11;27,99
VX;VX/J0;Monthly;15.4.2020;42,51;40,84
VX;VX/H0;Monthly;18.3.2020;69,76;76,449997
VX;VX/G0;Monthly;19.2.2020;14,51;14,38
VX;VX/F0;Monthly;22.1.2020;12,62;12,91
VX;VX/Z9;Monthly;18.12.2019;11,99;12,58
VX;VX/X9;Monthly;20.11.2019;13,01;12,78
VX;VX/V9;Monthly;16.10.2019;13,78;13,68
VX;VX/U9;Monthly;18.9.2019;14,54;13,95
VX;VX/Q9;Monthly;21.8.2019;15,63;15,8
VX;VX/N9;Monthly;17.7.2019;12,69;13,97
VX;VX/M9;Monthly;19.6.2019;14,8;14,33
VX;VX/K9;Monthly;22.5.2019;15,01;14,75
VX;VX/J9;Monthly;17.4.2019;11,71;12,6
VX;VX/H9;Monthly;19.3.2019;12,35;13,56
VX;VX/G9;Monthly;13.2.2019;15,6;15,65
VX;VX/F9;Monthly;16.1.2019;18,87;19,040001
VX;VX/Z8;Monthly;19.12.2018;26,2;25,58
VX;VX/X8;Monthly;21.11.2018;22,07;20,799999
VX;VX/V8;Monthly;17.10.2018;17,23;17,4
VX;VX/U8;Monthly;19.9.2018;11,94;11,75
VX;VX/Q8;Monthly;22.8.2018;12,61;12,25
VX;VX/N8;Monthly;18.7.2018;12,38;12,1
VX;VX/M8;Monthly;20.6.2018;12,27;12,79
VX;VX/K8;Monthly;16.5.2018;13,79;13,42
VX;VX/J8;Monthly;18.4.2018;17,26;15,6
VX;VX/H8;Monthly;21.3.2018;17,76;17,860001
VX;VX/G8;Monthly;14.2.2018;21,87;19,26
VX;VX/F8;Monthly;17.1.2018;12,61;11,91
VX;VX/Z7;Monthly;20.12.2017;8,75;9,72
